paper,expset_accession,condition,dataset,biosource,sample_type,tissue_source,treatment,modification,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Hafner_2023_PMID37146570,4DNESKIVBX1Q,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIOOBKZFO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2b738acc-14d5-4a69-898b-c19fc8420a22/4DNFIOOBKZFO.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESELYNUSQ,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIKKJ48AC,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c975ee53-d76e-4ed4-bb64-bcc1beb8143a/4DNFIKKJ48AC.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESBH54BG2,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIU1M6EQD,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6c3bf684-e89e-45fd-ad80-df417829d381/4DNFIU1M6EQD.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESBH54BG2,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFICDV29XY,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/38176e5a-af1b-44b5-bff2-71d8d45aa732/4DNFICDV29XY.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESBH54BG2,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIC7ZIV5L,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2d5d8fc0-a09d-49e5-b2cc-2274f26beaa5/4DNFIC7ZIV5L.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESLRTOSQT,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIRU8162Y,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e19061da-b263-4515-ab8f-f4550ecbb1e9/4DNFIRU8162Y.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESLRTOSQT,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIGJLJZZI,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1a6fb65f-fdb0-4686-adcb-b650a1824ce1/4DNFIGJLJZZI.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESLRTOSQT,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIOJXX6HX,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0f487f0c-2bc5-44f3-ad8c-50df5aa1eb7b/4DNFIOJXX6HX.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESG62SAVA,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFILD6TDR6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fdaaf048-629f-4f3f-97af-16a47a9deb03/4DNFILD6TDR6.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESG62SAVA,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIKXR227H,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/15d17583-a7ca-41ab-a6e8-f22e857c0c8e/4DNFIKXR227H.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESG62SAVA,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIW3V9CRO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0f9367da-7264-424e-9864-6688d68dede4/4DNFIW3V9CRO.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESTNG39BO,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFI2OG3IPB,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/30a0322b-b661-42bb-b908-073d14bf8b5a/4DNFI2OG3IPB.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESTNG39BO,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIU5X9MXT,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3db16c1a-91c8-40ca-80b2-556a065ed01f/4DNFIU5X9MXT.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESTNG39BO,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIIQ8YIG4,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/87667821-d014-46c9-9f6e-be12e64fe0c7/4DNFIIQ8YIG4.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESWDXDZSE,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFILPCK21L,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d4d218fb-d011-44af-8e81-f7ecb0f24abb/4DNFILPCK21L.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES9AAJN3E,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFI1FUBO1C,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ab0390f0-54d5-448d-bbbe-ba7e80a44517/4DNFI1FUBO1C.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES7J79L2L,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIOL8JK8B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a9e95ac5-5897-4f56-860f-0bf8090a8494/4DNFIOL8JK8B.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESS89DPXY,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIR7NLKK1,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/036bdcc8-4be5-4679-b519-b228c5acc847/4DNFIR7NLKK1.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESS8RFMYZ,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFISVDFOQF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f2192612-f410-4907-a7d4-2e55788556d6/4DNFISVDFOQF.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESCX81M3L,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIY4AJWDX,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1e26817d-ee16-4727-aa0f-c2099c219906/4DNFIY4AJWDX.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESONIY3VN,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIO5RN2C2,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7cb7f3ca-6971-4470-bd2e-814b32bf843f/4DNFIO5RN2C2.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNEST6D6KGP,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIYIO8KWM,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0932a64c-a050-429a-a1a0-96c454503cd7/4DNFIYIO8KWM.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES9LEVBEB,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIWNFS2VH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7f43b51e-546b-4819-8281-b565d978da77/4DNFIWNFS2VH.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESL2I3MU1,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIOUYCD28,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/2188617b-2478-408e-80b9-12c15d0813f5/4DNFIOUYCD28.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESICE96L3,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFINSC2HY6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9eecf822-ff79-4fdd-935c-c6493f2c4674/4DNFINSC2HY6.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESMN7RCSB,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIYAV18GS,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f48ab1ad-cd76-49a3-8523-aecec9e1c880/4DNFIYAV18GS.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESMN7RCSB,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIYK9HESW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/73a3519a-a988-4cef-835b-e3247f986079/4DNFIYK9HESW.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESMN7RCSB,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIWQDIWYS,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ed5409a3-d4ee-452b-9796-3e2f8d934b34/4DNFIWQDIWYS.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESQ49IXDU,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIRKSEW93,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ccb0c740-d19f-4bf3-b73b-1bca319ca598/4DNFIRKSEW93.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESQ49IXDU,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIJIZ3RQH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cbc1a19c-576f-48ae-aff1-7e0f31dab043/4DNFIJIZ3RQH.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNESQ49IXDU,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIFW72AJF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a7f1bba4-03a6-4021-ba35-4e9cc4e672bc/4DNFIFW72AJF.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)|FOF-CT - cell data (csv)"
Hafner_2023_PMID37146570,4DNES2KX6HQ5,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFI7VT6EDW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/65fcc229-4e1b-4007-b560-3ea6d1981a5a/4DNFI7VT6EDW.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES2KX6HQ5,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIAIAP297,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/93e49978-2d96-424b-8a7a-b74b5a2d0821/4DNFIAIAP297.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES2KX6HQ5,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIVRJ7X2O,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c47b096e-3103-4584-8882-bf274300e5e7/4DNFIVRJ7X2O.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESJ3TXVIR,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIYPMS4NO,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/845137e9-d244-4768-b03f-30c9d3f7cac1/4DNFIYPMS4NO.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESJ3TXVIR,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,1,4DNFIXSBFXT5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3a24d125-834f-4045-b53b-cdcabbb7263f/4DNFIXSBFXT5.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESJ3TXVIR,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,3,2,4DNFIRFHZ9N6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f59d002e-93a5-4b38-9630-13dbf54af65f/4DNFIRFHZ9N6.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESD28H8O7,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIIKBWENA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d8abd3d0-3139-468f-8ed1-d5f46bd12801/4DNFIIKBWENA.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
